restaurant_name,total_num_reveiws,final_average,t0_reviewcount,t0_averagerating,t1_reviewcount,t1_averagerating,t2_reviewcount,t2_averagerating,t3_reviewcount,t3_averagerating,t4_reviewcount,t4_averagerating
snoball shop,243,4.2,207,4.31,208,4.31,210,4.3,219,4.26,229,4.24
the memphis grill,127,4.73,1,5.0,1,5.0,8,4.3,21,4.53,75,4.68
cobblermania,131,4.77,105,4.77,105,4.77,105,4.77,108,4.78,111,4.79
the kobbler king,112,3.77,100,3.86,101,3.86,101,3.85,102,3.85,105,3.8
all flavor no grease,205,3.84,179,3.92,179,3.92,182,3.88,182,3.88,189,3.88
earles on crenshaw,408,4.58,274,4.61,282,4.62,295,4.59,309,4.6,340,4.6
sugah rush bar,7,5.0,5,5.0,5,5.0,5,5.0,6,5.0,7,5.0
happy ice,322,4.53,71,4.7,72,4.69,72,4.67,76,4.67,216,4.61
traceys belizean restaurant,151,4.35,119,4.35,121,4.36,126,4.35,126,4.35,131,4.37
