restaurant_name,total_num_reveiws,final_average,t0_reviewcount,t0_averagerating,t1_reviewcount,t1_averagerating,t2_reviewcount,t2_averagerating,t3_reviewcount,t3_averagerating,t4_reviewcount,t4_averagerating
the original herbivore,224,4.52,40,4.43,44,4.48,48,4.44,49,4.34,76,4.2
met her at a bar,1699,4.43,946,4.53,988,4.53,1019,4.52,1031,4.52,1204,4.49
han bat sul lung tang,1463,4.44,1210,4.4,1227,4.41,1238,4.4,1242,4.4,1280,4.41
hae jang chon,4098,4.04,3704,4.06,3723,4.06,3730,4.06,3739,4.06,3779,4.05
republique,1084,4.25,284,4.36,316,4.37,331,4.37,339,4.36,422,4.37
ktown pho,672,4.5,458,4.48,463,4.48,480,4.49,486,4.49,552,4.52
marugame monzo,4065,4.35,3561,4.34,3619,4.34,3630,4.34,3637,4.34,3704,4.34
